,year_week,exit,brand,area_dedalo,year_release,order_quantity,release
16220,2019-11-03,201910,RB,MUESED,2020 N1,1,N1
16848,2019-11-17,201910,RB,MUESED,2020 N1,2302,N1
17234,2019-11-24,201910,RB,MUESED,2020 N1,5953,N1
17669,2019-12-01,201910,RB,MUESED,2020 N1,3034,N1
18143,2019-12-08,201910,RB,MUESED,2020 N1,5383,N1
18642,2019-12-15,201910,RB,MUESED,2020 N1,2885,N1
19095,2019-12-22,201910,RB,MUESED,2020 N1,1102,N1
19445,2019-12-29,201910,RB,MUESED,2020 N1,258,N1
19801,2020-01-05,201910,RB,MUESED,2020 N1,436,N1
20045,2020-01-12,201910,RB,MUESED,2020 N1,6693,N1
20376,2020-01-19,201910,RB,MUESED,2020 N1,12143,N1
20725,2020-01-26,201910,RB,MUESED,2020 N1,18023,N1
21054,2020-02-02,201910,RB,MUESED,2020 N1,14911,N1
21410,2020-02-09,201910,RB,MUESED,2020 N1,17586,N1
21780,2020-02-16,201910,RB,MUESED,2020 N1,14526,N1
22138,2020-02-23,201910,RB,MUESED,2020 N1,12299,N1
22474,2020-03-01,201910,RB,MUESED,2020 N1,12803,N1
22827,2020-03-08,201910,RB,MUESED,2020 N1,12896,N1
23200,2020-03-15,201910,RB,MUESED,2020 N1,9015,N1
23578,2020-03-22,201910,RB,MUESED,2020 N1,1790,N1
23933,2020-03-29,201910,RB,MUESED,2020 N1,457,N1
24253,2020-04-05,201910,RB,MUESED,2020 N1,713,N1
24484,2020-04-12,201910,RB,MUESED,2020 N1,333,N1
24705,2020-04-19,201910,RB,MUESED,2020 N1,735,N1
24895,2020-04-26,201910,RB,MUESED,2020 N1,761,N1
25105,2020-05-03,201910,RB,MUESED,2020 N1,975,N1
25333,2020-05-10,201910,RB,MUESED,2020 N1,1808,N1
25587,2020-05-17,201910,RB,MUESED,2020 N1,2704,N1
25863,2020-05-24,201910,RB,MUESED,2020 N1,4359,N1
26148,2020-05-31,201910,RB,MUESED,2020 N1,6773,N1
26449,2020-06-07,201910,RB,MUESED,2020 N1,8219,N1
26802,2020-06-14,201910,RB,MUESED,2020 N1,9456,N1
27148,2020-06-21,201910,RB,MUESED,2020 N1,10286,N1
27503,2020-06-28,201910,RB,MUESED,2020 N1,9674,N1
27886,2020-07-05,201910,RB,MUESED,2020 N1,10785,N1
28237,2020-07-12,201910,RB,MUESED,2020 N1,8108,N1
28603,2020-07-19,201910,RB,MUESED,2020 N1,7400,N1
28959,2020-07-26,201910,RB,MUESED,2020 N1,6880,N1
33832,2020-12-06,202101,RB,MUESED,2021 N1,93,N1
34191,2020-12-13,202101,RB,MUESED,2021 N1,555,N1
34549,2020-12-20,202101,RB,MUESED,2021 N1,756,N1
34870,2020-12-27,202101,RB,MUESED,2021 N1,374,N1
35160,2021-01-03,202101,RB,MUESED,2021 N1,250,N1
35287,2021-01-03,202101,RB,MUESED,2021 N1,1431,N1
35491,2021-01-10,202101,RB,MUESED,2021 N1,5354,N1
35737,2021-01-17,202101,RB,MUESED,2021 N1,9774,N1
36020,2021-01-24,202101,RB,MUESED,2021 N1,18367,N1
36329,2021-01-31,202101,RB,MUESED,2021 N1,12049,N1
36713,2021-02-07,202101,RB,MUESED,2021 N1,16464,N1
37123,2021-02-14,202101,RB,MUESED,2021 N1,14350,N1
37561,2021-02-21,202101,RB,MUESED,2021 N1,14720,N1
38010,2021-02-28,202101,RB,MUESED,2021 N1,17375,N1
38478,2021-03-07,202101,RB,MUESED,2021 N1,14846,N1
38953,2021-03-14,202101,RB,MUESED,2021 N1,14364,N1
39429,2021-03-21,202101,RB,MUESED,2021 N1,14190,N1
39934,2021-03-28,202101,RB,MUESED,2021 N1,10922,N1
40415,2021-04-04,202101,RB,MUESED,2021 N1,11343,N1
40930,2021-04-11,202101,RB,MUESED,2021 N1,11292,N1
41464,2021-04-18,202101,RB,MUESED,2021 N1,12230,N1
41990,2021-04-25,202101,RB,MUESED,2021 N1,11993,N1
42504,2021-05-02,202101,RB,MUESED,2021 N1,12660,N1
43016,2021-05-09,202101,RB,MUESED,2021 N1,10263,N1
43533,2021-05-16,202101,RB,MUESED,2021 N1,12997,N1
44059,2021-05-23,202101,RB,MUESED,2021 N1,11546,N1
44583,2021-05-30,202101,RB,MUESED,2021 N1,14033,N1
45127,2021-06-06,202101,RB,MUESED,2021 N1,11962,N1
45642,2021-06-13,202101,RB,MUESED,2021 N1,11500,N1
46199,2021-06-20,202101,RB,MUESED,2021 N1,9662,N1
46736,2021-06-27,202101,RB,MUESED,2021 N1,10183,N1
47285,2021-07-04,202101,RB,MUESED,2021 N1,7284,N1
47915,2021-07-11,202101,RB,MUESED,2021 N1,6172,N1
48564,2021-07-18,202101,RB,MUESED,2021 N1,5080,N1
49230,2021-07-25,202101,RB,MUESED,2021 N1,6524,N1
49939,2021-08-01,202101,RB,MUESED,2021 N1,4416,N1
50740,2021-08-08,202101,RB,MUESED,2021 N1,3506,N1
51572,2021-08-15,202101,RB,MUESED,2021 N1,2908,N1
52464,2021-08-22,202101,RB,MUESED,2021 N1,3346,N1
60960,2022-01-02,202201,RB,MUESED,2022 N1,1669,N1
61546,2022-01-09,202201,RB,MUESED,2022 N1,6382,N1
62180,2022-01-16,202201,RB,MUESED,2022 N1,10472,N1
62807,2022-01-23,202201,RB,MUESED,2022 N1,13534,N1
63448,2022-01-30,202201,RB,MUESED,2022 N1,16807,N1
64171,2022-02-06,202201,RB,MUESED,2022 N1,24627,N1
64928,2022-02-13,202201,RB,MUESED,2022 N1,19994,N1
65406,2022-02-20,202201,RB,MUESED,2022 N1,23974,N1
65895,2022-02-27,202201,RB,MUESED,2022 N1,31169,N1
66416,2022-03-06,202201,RB,MUESED,2022 N1,21722,N1
66936,2022-03-13,202201,RB,MUESED,2022 N1,23856,N1
67444,2022-03-20,202201,RB,MUESED,2022 N1,17644,N1
67962,2022-03-27,202201,RB,MUESED,2022 N1,16510,N1
68474,2022-04-03,202201,RB,MUESED,2022 N1,12632,N1
68935,2022-04-10,202201,RB,MUESED,2022 N1,11704,N1
69413,2022-04-17,202201,RB,MUESED,2022 N1,11342,N1
69917,2022-04-24,202201,RB,MUESED,2022 N1,11424,N1
70427,2022-05-01,202201,RB,MUESED,2022 N1,12225,N1
70932,2022-05-08,202201,RB,MUESED,2022 N1,14828,N1
71469,2022-05-15,202201,RB,MUESED,2022 N1,16234,N1
72006,2022-05-22,202201,RB,MUESED,2022 N1,13090,N1
72551,2022-05-29,202201,RB,MUESED,2022 N1,14128,N1
73081,2022-06-05,202201,RB,MUESED,2022 N1,14736,N1
73630,2022-06-12,202201,RB,MUESED,2022 N1,13902,N1
74165,2022-06-19,202201,RB,MUESED,2022 N1,12210,N1
74694,2022-06-26,202201,RB,MUESED,2022 N1,13610,N1
75235,2022-07-03,202201,RB,MUESED,2022 N1,9661,N1
75828,2022-07-10,202201,RB,MUESED,2022 N1,8913,N1
76486,2022-07-17,202201,RB,MUESED,2022 N1,8995,N1
77224,2022-07-24,202201,RB,MUESED,2022 N1,8782,N1
78007,2022-07-31,202201,RB,MUESED,2022 N1,6020,N1
78773,2022-08-07,202201,RB,MUESED,2022 N1,5445,N1
79529,2022-08-14,202201,RB,MUESED,2022 N1,4126,N1
80307,2022-08-21,202201,RB,MUESED,2022 N1,5416,N1
81096,2022-08-28,202201,RB,MUESED,2022 N1,5767,N1
87736,2022-11-27,202301,RB,MUESED,2023 N1,242,N1
88244,2022-12-04,202301,RB,MUESED,2023 N1,3451,N1
88718,2022-12-11,202301,RB,MUESED,2023 N1,2879,N1
89160,2022-12-18,202301,RB,MUESED,2023 N1,2791,N1
89535,2022-12-25,202301,RB,MUESED,2023 N1,184,N1
89570,2023-01-01,202301,RB,MUESED,2023 N1,4,N1
90040,2023-01-01,202301,RB,MUESED,2023 N1,685,N1
90653,2023-01-08,202301,RB,MUESED,2023 N1,7410,N1
91296,2023-01-15,202301,RB,MUESED,2023 N1,11287,N1
91983,2023-01-22,202301,RB,MUESED,2023 N1,13040,N1
92698,2023-01-29,202301,RB,MUESED,2023 N1,16884,N1
93483,2023-02-05,202301,RB,MUESED,2023 N1,19006,N1
94312,2023-02-12,202301,RB,MUESED,2023 N1,23292,N1
95136,2023-02-19,202301,RB,MUESED,2023 N1,18329,N1
96024,2023-02-26,202301,RB,MUESED,2023 N1,30284,N1
96865,2023-03-05,202301,RB,MUESED,2023 N1,18056,N1
97727,2023-03-12,202301,RB,MUESED,2023 N1,18410,N1
98609,2023-03-19,202301,RB,MUESED,2023 N1,20009,N1
99503,2023-03-26,202301,RB,MUESED,2023 N1,15710,N1
100304,2023-04-02,202301,RB,MUESED,2023 N1,19560,N1
100738,2023-04-09,202301,RB,MUESED,2023 N1,10782,N1
101169,2023-04-16,202301,RB,MUESED,2023 N1,13317,N1
101606,2023-04-23,202301,RB,MUESED,2023 N1,10707,N1
102026,2023-04-30,202301,RB,MUESED,2023 N1,11721,N1
102447,2023-05-07,202301,RB,MUESED,2023 N1,15581,N1
102887,2023-05-14,202301,RB,MUESED,2023 N1,11863,N1
103329,2023-05-21,202301,RB,MUESED,2023 N1,12187,N1
103759,2023-05-28,202301,RB,MUESED,2023 N1,11400,N1
104197,2023-06-04,202301,RB,MUESED,2023 N1,13679,N1
104636,2023-06-11,202301,RB,MUESED,2023 N1,14718,N1
105054,2023-06-18,202301,RB,MUESED,2023 N1,13599,N1
105475,2023-06-25,202301,RB,MUESED,2023 N1,20017,N1
105922,2023-07-02,202301,RB,MUESED,2023 N1,8135,N1
106362,2023-07-09,202301,RB,MUESED,2023 N1,20535,N1
106803,2023-07-16,202301,RB,MUESED,2023 N1,7353,N1
107239,2023-07-23,202301,RB,MUESED,2023 N1,6073,N1
107682,2023-07-30,202301,RB,MUESED,2023 N1,5193,N1
108131,2023-08-06,202301,RB,MUESED,2023 N1,3972,N1
108557,2023-08-13,202301,RB,MUESED,2023 N1,2920,N1
108990,2023-08-20,202301,RB,MUESED,2023 N1,3787,N1
109422,2023-08-27,202301,RB,MUESED,2023 N1,6310,N1
